year,range,type,region,count,rate,total_pop
2017,full,homicide,Downtown,7,0.4508799512024851,15525.196854131975
2017,full,homicide,Forest Park,1,0.0635086236600456,15745.89311449868
2017,full,homicide,Midtown,4,0.12523087716222625,31941.004412340983
2017,full,homicide,North Hayden,71,2.027813361213681,35013.08422068256
2017,full,homicide,North NonHayden,100,1.860008011399233,53763.20929111093
2017,full,homicide,South,15,0.12360266932366325,121356.60242677548
2017,full,homicide,Southeast,18,0.43350502874312835,41522.009680459385
2017,full,homicide,NA,4,NA,NA
2017,full,part 1,Downtown,3144,202.50950951151617,15525.196854131975
2017,full,part 1,Forest Park,1130,71.76474473585152,15745.89311449868
2017,full,part 1,Midtown,2584,80.89914664679814,31941.004412340983
2017,full,part 1,North Hayden,3695,105.53197703781058,35013.08422068256
2017,full,part 1,North NonHayden,5645,104.99745224348669,53763.20929111093
2017,full,part 1,South,6006,49.49050879719477,121356.60242677548
2017,full,part 1,Southeast,3533,85.08740369719293,41522.009680459385
2017,full,part 1,NA,166,NA,NA
2017,full,violent,Downtown,563,36.263630360999876,15525.196854131975
2017,full,violent,Forest Park,157,9.970853914627158,15745.89311449868
2017,full,violent,Midtown,400,12.523087716222625,31941.004412340983
2017,full,violent,North Hayden,1348,38.49989311149355,35013.08422068256
2017,full,violent,North NonHayden,2039,37.92556335243036,53763.20929111093
2017,full,violent,South,953,7.852889591030072,121356.60242677548
2017,full,violent,Southeast,1009,24.30036522232314,41522.009680459385
2017,full,violent,NA,60,NA,NA
2017,partial,homicide,Downtown,7,0.4508799512024851,15525.196854131975
2017,partial,homicide,Forest Park,1,0.0635086236600456,15745.89311449868
2017,partial,homicide,Midtown,3,0.09392315787166967,31941.004412340983
2017,partial,homicide,North Hayden,51,1.4565983298858836,35013.08422068256
2017,partial,homicide,North NonHayden,78,1.4508062488914018,53763.20929111093
2017,partial,homicide,South,11,0.09064195750401972,121356.60242677548
2017,partial,homicide,Southeast,12,0.2890033524954189,41522.009680459385
2017,partial,homicide,NA,4,NA,NA
2017,partial,part 1,Downtown,2341,150.7871379664311,15525.196854131975
2017,partial,part 1,Forest Park,812,51.56900241195703,15745.89311449868
2017,partial,part 1,Midtown,1851,57.950588406820195,31941.004412340983
2017,partial,part 1,North Hayden,2704,77.22827223551822,35013.08422068256
2017,partial,part 1,North NonHayden,4189,77.91573559751387,53763.20929111093
2017,partial,part 1,South,4468,36.81711510254183,121356.60242677548
2017,partial,part 1,Southeast,2557,61.58179769423218,41522.009680459385
2017,partial,part 1,NA,123,NA,NA
2017,partial,violent,Downtown,414,26.666328542546974,15525.196854131975
2017,partial,violent,Forest Park,97,6.160336495024423,15745.89311449868
2017,partial,violent,Midtown,283,8.860084559227507,31941.004412340983
2017,partial,violent,North Hayden,971,27.732489770964566,35013.08422068256
2017,partial,violent,North NonHayden,1496,27.825719850532526,53763.20929111093
2017,partial,violent,South,682,5.619801365249223,121356.60242677548
2017,partial,violent,Southeast,761,18.32762927075115,41522.009680459385
2017,partial,violent,NA,47,NA,NA
2018,full,homicide,Downtown,8,0.5152913728028401,15525.196854131975
2018,full,homicide,Midtown,7,0.2191540350338959,31941.004412340983
2018,full,homicide,North Hayden,60,1.7136450939833925,35013.08422068256
2018,full,homicide,North NonHayden,71,1.3206056880934554,53763.20929111093
2018,full,homicide,South,23,0.18952409296295034,121356.60242677548
2018,full,homicide,Southeast,22,0.5298394795749347,41522.009680459385
2018,full,homicide,NA,2,NA,NA
2018,full,part 1,Downtown,2755,177.45346650897807,15525.196854131975
2018,full,part 1,Forest Park,889,56.45916643378054,15745.89311449868
2018,full,part 1,Midtown,2654,83.09068699713711,31941.004412340983
2018,full,part 1,North Hayden,3516,100.41960250742679,35013.08422068256
2018,full,part 1,North NonHayden,5429,100.97983493886436,53763.20929111093
2018,full,part 1,South,5707,47.02669558867641,121356.60242677548
2018,full,part 1,Southeast,3230,77.79006904668358,41522.009680459385
2018,full,part 1,NA,165,NA,NA
2018,full,violent,Downtown,432,27.825734131353368,15525.196854131975
2018,full,violent,Forest Park,122,7.748052086525564,15745.89311449868
2018,full,violent,Midtown,412,12.898780347709303,31941.004412340983
2018,full,violent,North Hayden,1111,31.730994990259152,35013.08422068256
2018,full,violent,North NonHayden,1766,32.84774148131045,53763.20929111093
2018,full,violent,South,883,7.27607713418631,121356.60242677548
2018,full,violent,Southeast,777,18.712967074078374,41522.009680459385
2018,full,violent,NA,76,NA,NA
2018,partial,homicide,Downtown,6,0.38646852960213013,15525.196854131975
2018,partial,homicide,Midtown,6,0.18784631574333935,31941.004412340983
2018,partial,homicide,North Hayden,47,1.342355323620324,35013.08422068256
2018,partial,homicide,North NonHayden,51,0.9486040858136088,53763.20929111093
2018,partial,homicide,South,16,0.13184284727857415,121356.60242677548
2018,partial,homicide,Southeast,18,0.43350502874312835,41522.009680459385
2018,partial,homicide,NA,2,NA,NA
2018,partial,part 1,Downtown,2232,143.7662930119924,15525.196854131975
2018,partial,part 1,Forest Park,683,43.37638995981115,15745.89311449868
2018,partial,part 1,Midtown,2042,63.930362791316504,31941.004412340983
2018,partial,part 1,North Hayden,2634,75.22901962587092,35013.08422068256
2018,partial,part 1,North NonHayden,4060,75.51632526280885,53763.20929111093
2018,partial,part 1,South,4337,35.7376517904485,121356.60242677548
2018,partial,part 1,Southeast,2432,58.571346105738236,41522.009680459385
2018,partial,part 1,NA,123,NA,NA
2018,partial,violent,Downtown,351,22.60840898172461,15525.196854131975
2018,partial,violent,Forest Park,93,5.906302000384241,15745.89311449868
2018,partial,violent,Midtown,309,9.674085260781977,31941.004412340983
2018,partial,violent,North Hayden,839,23.9624705642011,35013.08422068256
2018,partial,violent,North NonHayden,1335,24.83110695217976,53763.20929111093
2018,partial,violent,South,684,5.636281721159045,121356.60242677548
2018,partial,violent,Southeast,589,14.185247884983479,41522.009680459385
2018,partial,violent,NA,50,NA,NA
2019,partial,homicide,Downtown,6,0.38646852960213013,15525.196854131975
2019,partial,homicide,Forest Park,1,0.0635086236600456,15745.89311449868
2019,partial,homicide,Midtown,2,0.06261543858111313,31941.004412340983
2019,partial,homicide,North Hayden,56,1.5994020877178328,35013.08422068256
2019,partial,homicide,North NonHayden,65,1.2090052074095015,53763.20929111093
2019,partial,homicide,South,11,0.09064195750401972,121356.60242677548
2019,partial,homicide,Southeast,20,0.48167225415903153,41522.009680459385
2019,partial,homicide,NA,4,NA,NA
2019,partial,part 1,Downtown,1968,126.76167770949867,15525.196854131975
2019,partial,part 1,Forest Park,765,48.58409709993489,15745.89311449868
2019,partial,part 1,Midtown,1903,59.578589809929134,31941.004412340983
2019,partial,part 1,North Hayden,2880,82.25496451120283,35013.08422068256
2019,partial,part 1,North NonHayden,3958,73.61911709118165,53763.20929111093
2019,partial,part 1,South,4242,34.95483488473197,121356.60242677548
2019,partial,part 1,Southeast,2471,59.51060700134835,41522.009680459385
2019,partial,part 1,NA,117,NA,NA
2019,partial,violent,Downtown,364,23.445757462529226,15525.196854131975
2019,partial,violent,Forest Park,83,5.271215763783784,15745.89311449868
2019,partial,violent,Midtown,295,9.235777190714185,31941.004412340983
2019,partial,violent,North Hayden,992,28.332265553858754,35013.08422068256
2019,partial,violent,North NonHayden,1411,26.244713040843177,53763.20929111093
2019,partial,violent,South,647,5.331395136827342,121356.60242677548
2019,partial,violent,Southeast,604,14.546502075602753,41522.009680459385
2019,partial,violent,NA,54,NA,NA
